pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Kaylan Bigun,Maxi Homberg,0-0,0-0,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,10650.0,31049.0,20399.0,11,9-12,1,0,1st Serve In,T,T,,False,Near,,,-6.656966317,202.3605916,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,1.0,2.0,4.0,3.0,"Set 1: 0-0, 0-0 Kaylan Bigun Serving"
2,Kaylan Bigun,Maxi Homberg,15-0,0-0,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,54450.0,59450.0,5000.0,1,1-4,1,0,1st Serve In,Wide,Wide,,True,Near,,,143.2014053,224.3817695,,,,,,,,,Kaylan Bigun,,Kaylan Bigun,0.0,False,,,1,0,0,0,0,15,0,,,1,Ace,Ad: Wide,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-0 Kaylan Bigun Serving"
3,Kaylan Bigun,Maxi Homberg,30-0,0-0,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,77190.0,82970.0,5780.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,-27.75617892,244.6583443,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Maxi Homberg,Error,Kaylan Bigun,0.0,False,,,1,0,0,0,0,30,0,,,1,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-0 Kaylan Bigun Serving"
4,Kaylan Bigun,Maxi Homberg,40-0,0-0,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,100630.0,104847.0,4217.0,1,1-4,1,0,1st Serve In,T,T,,True,Near,,,11.0,230.0,,,,,,,,,Kaylan Bigun,,Kaylan Bigun,0.0,False,,,1,0,0,0,0,40,0,,,1,Ace,Ad: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-0 Kaylan Bigun Serving"
5,Kaylan Bigun,Maxi Homberg,0-0,1-0,0-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,149389.0,155149.0,5760.0,2,1-4,0,0,Double Fault,,Body,,False,Near,,,-104.2955599,250.9895396,,,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,Double Fault,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 0-0 Maxi Homberg Serving"
6,Kaylan Bigun,Maxi Homberg,15-0,1-0,0-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,165020.0,184190.0,19170.0,6,5-8,0,1,2nd Serve In,T,Body,T,False,Near,,,78.94520997,-193.6192038,9.412948381,172.1897419,Down the Line,Backhand,Net,,Down the Line,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,0.0,False,,,1,0,0,1,0,15,0,,,2,,,Down the Line,Backhand,Down the Line,Forehand,Winner,2nd Serve In,Ad: T,,,,,,0.0,1.0,3.0,1.0,"Set 1: 1-0, 15-0 Maxi Homberg Serving"
7,Kaylan Bigun,Maxi Homberg,15-15,1-0,0-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,203889.0,222479.0,18590.0,5,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,-35.9776192,246.3650919,-124.4447507,242.7761374,Crosscourt,Backhand,Net,,Down the Line,Forehand,Maxi Homberg,Error,Kaylan Bigun,0.0,False,,,1,0,0,1,0,15,15,,,2,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,1.0,1.0,1.0,0.0,"Set 1: 1-0, 15-15 Maxi Homberg Serving"
8,Kaylan Bigun,Maxi Homberg,15-30,1-0,0-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,246250.0,261549.0,15299.0,3,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,160.1628171,308.7939304,89.09356409,199.1096949,Crosscourt,Forehand,Net,,Down the Line,Forehand,Maxi Homberg,Error,Kaylan Bigun,0.0,False,,,1,0,0,1,0,15,30,,,2,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,0.0,0.0,1.0,0.0,"Set 1: 1-0, 15-30 Maxi Homberg Serving"
9,Kaylan Bigun,Maxi Homberg,15-40,1-0,0-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,277250.0,291320.0,14070.0,2,1-4,0,1,2nd Serve In,T,Wide,T,False,Near,,,-106.130572,629.689042,-18.71619641,244.7146872,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,True,,,1,0,0,1,0,15,40,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 15-40 Maxi Homberg Serving"
10,Kaylan Bigun,Maxi Homberg,30-40,1-0,0-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,307350.0,326380.0,19030.0,11,9-12,1,0,1st Serve In,Wide,Wide,,False,Near,,,143.3042924,245.0,,,Crosscourt,Forehand,Long,,Down the Line,Forehand,Maxi Homberg,Error,Kaylan Bigun,0.0,True,,,1,0,0,1,0,30,40,,,2,,,Crosscourt,Forehand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,0.0,1.0,5.0,3.0,"Set 1: 1-0, 30-40 Maxi Homberg Serving"
11,Kaylan Bigun,Maxi Homberg,0-0,2-0,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,356619.0,362250.0,5631.0,2,1-4,0,0,Double Fault,,T,,False,Far,,,16.01077756,-157.4034285,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Maxi Homberg,Error,Kaylan Bigun,0.0,False,,,1,0,0,2,0,0,0,,,3,Double Fault,,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 2-0, 0-0 Kaylan Bigun Serving"
12,Kaylan Bigun,Maxi Homberg,15-0,2-0,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,388970.0,394970.0,6000.0,1,1-4,1,0,1st Serve In,Wide,Wide,,True,Far,,,-135.9411253,-145.3278161,,,,,,,,,Kaylan Bigun,,Kaylan Bigun,0.0,False,,,1,0,0,2,0,15,0,,,3,Ace,Ad: Wide,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 2-0, 15-0 Kaylan Bigun Serving"
13,Kaylan Bigun,Maxi Homberg,30-0,2-0,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,411820.0,432920.0,21100.0,5,5-8,0,1,2nd Serve In,T,Wide,T,False,Far,,,164.5405731,-277.931425,46.12317913,-158.0436789,Down the Line,Forehand,Long,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,2,0,30,0,,,3,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Down the Line,Forehand,,,,0.0,0.0,1.0,2.0,"Set 1: 2-0, 30-0 Kaylan Bigun Serving"
14,Kaylan Bigun,Maxi Homberg,30-15,2-0,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,453619.0,464019.0,10400.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,-142.0445757,-198.0677712,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,2,0,30,15,,,3,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 1: 2-0, 30-15 Kaylan Bigun Serving"
15,Kaylan Bigun,Maxi Homberg,30-30,2-0,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,490679.0,495679.0,5000.0,1,1-4,1,0,1st Serve In,T,T,,True,Far,,,14.58118985,-195.4504265,,,,,,,,,Kaylan Bigun,,Kaylan Bigun,0.0,False,,,1,0,0,2,0,30,30,,,3,Ace,Deuce: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 2-0, 30-30 Kaylan Bigun Serving"
16,Kaylan Bigun,Maxi Homberg,40-30,2-0,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,490679.0,,,11,9-12,1,0,1st Serve In,T,T,,False,Far,,,-26.0,-241.0,,,Crosscourt,Forehand,Wide Left,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,2,0,40,30,,,3,1st Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,0.0,3.0,4.0,2.0,"Set 1: 2-0, 40-30 Kaylan Bigun Serving"
17,Kaylan Bigun,Maxi Homberg,40-40,2-0,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,556250.0,565659.0,9409.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,9.702012248,-175.3342684,,,Down the Line,Backhand,Wide Left,,Down the Line,Backhand,Maxi Homberg,Error,Kaylan Bigun,0.0,True,,,1,0,0,2,0,40,40,,,3,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,1.0,1.0,0.0,"Set 1: 2-0, 40-40 Kaylan Bigun Serving"
18,Kaylan Bigun,Maxi Homberg,0-0,3-0,0-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,648059.0,659580.0,11521.0,7,5-8,1,0,1st Serve In,T,T,,False,Far,,,41.80643591,-199.4529582,,,Down the Line,Forehand,Wide Right,,Down the Line,Backhand,Maxi Homberg,Error,Kaylan Bigun,0.0,False,Kaylan Bigun,Maxi Homberg,1,0,0,3,0,0,0,,,4,,,Down the Line,Forehand,,,,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,0.0,1.0,2.0,0.0,"Set 1: 3-0, 0-0 Maxi Homberg Serving"
19,Kaylan Bigun,Maxi Homberg,15-0,3-0,0-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,678849.0,684659.0,5810.0,2,1-4,0,0,Double Fault,,Body,,False,Far,,,-103.3500547,-247.1225066,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,3,0,15,0,,,4,,,Down the Line,Forehand,Down the Line,Forehand,Error,Double Fault,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 3-0, 15-0 Maxi Homberg Serving"
20,Kaylan Bigun,Maxi Homberg,30-0,3-0,0-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,696479.0,715849.0,19370.0,4,1-4,0,1,2nd Serve In,Wide,Wide,Wide,False,Far,,,159.1974081,-129.1812719,112.3212544,-142.9666175,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,3,0,30,0,,,4,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,0.0,0.0,1.0,1.0,"Set 1: 3-0, 30-0 Maxi Homberg Serving"
21,Kaylan Bigun,Maxi Homberg,40-0,3-0,0-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,733650.0,755710.0,22060.0,5,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Far,,,-13.30853565,-265.0263615,-121.1221238,-134.9817257,Crosscourt,Forehand,Wide Right,,Down the Line,Forehand,Maxi Homberg,Error,Kaylan Bigun,0.0,False,,,1,0,0,3,0,40,0,,,4,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Forehand,Error,1.0,1.0,1.0,0.0,"Set 1: 3-0, 40-0 Maxi Homberg Serving"
22,Kaylan Bigun,Maxi Homberg,40-15,3-0,0-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,775580.0,800760.0,25180.0,6,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,177.5189359,-246.1237587,88.11311242,-138.0763014,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Kaylan Bigun,Error,Maxi Homberg,0.0,False,,,1,0,0,3,0,40,15,,,4,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,1.0,1.0,1.0,1.0,"Set 1: 3-0, 40-15 Maxi Homberg Serving"
23,Kaylan Bigun,Maxi Homberg,0-0,3-1,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,832609.0,855710.0,23101.0,5,5-8,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,90.08894357,-1.962128171,-115.6035761,230.7382273,Crosscourt,Forehand,Net,,Crosscourt,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,3,1,0,0,,,5,2nd Serve In,Deuce: Wide,,,Crosscourt,Forehand,Winner,,,Crosscourt,Forehand,,,,2.0,0.0,0.0,2.0,"Set 1: 3-1, 0-0 Kaylan Bigun Serving"
24,Kaylan Bigun,Maxi Homberg,15-0,3-1,0-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,877640.0,898479.0,20839.0,3,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,180.7379101,243.7774497,99.03465114,206.1301345,Crosscourt,Backhand,,,Down the Line,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,3,1,15,0,,,5,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 1: 3-1, 15-0 Kaylan Bigun Serving"
25,Kaylan Bigun,Maxi Homberg,30-0,3-1,0-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,922880.0,944909.0,22029.0,5,5-8,0,1,2nd Serve In,T,Wide,T,False,Near,,,-158.0029528,163.170888,-22.22886592,181.0655184,Crosscourt,Backhand,Long,,Crosscourt,Forehand,Kaylan Bigun,Error,Maxi Homberg,,False,,,1,0,0,3,1,30,0,,,5,2nd Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,2.0,"Set 1: 3-1, 30-0 Kaylan Bigun Serving"
