pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Kaylan Bigun,Miguel Perez Pena,0-0,0-0,0-0,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,50.0,3450.0,3400.0,4,1-4,1,0,1st Serve In,T,T,,False,Near,,,-21.1946741,221.41385061230903,,,Down the Line,Backhand,Long,,Crosscourt,Backhand,Miguel Perez Pena,Error,Kaylan Bigun,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Crosscourt,Backhand,Error,0.0,0.0,1.0,1.0,"Set 1: 0-0, 0-0 Kaylan Bigun Serving"
2,Kaylan Bigun,Miguel Perez Pena,15-0,0-0,0-0,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,22219.0,24580.0,2361.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,134.20521106729726,196.30024059482423,,,Down the Line,Backhand,Net,,Crosscourt,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,0.0,False,,,1,0,0,0,0,15,0,,,1,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,,,Down the Line,Backhand,,,,0.0,0.0,0.0,1.0,"Set 1: 0-0, 15-0 Kaylan Bigun Serving"
3,Kaylan Bigun,Miguel Perez Pena,15-15,0-0,0-0,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,53950.0,56779.0,2829.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,,,-10.37885499,234.10261373566212,,,Down the Line,Backhand,,,Down the Line,Backhand,Kaylan Bigun,Winner,Kaylan Bigun,0.0,False,,,1,0,0,0,0,15,15,,,1,1st Serve In,Deuce: T,,,Down the Line,Backhand,Winner,,,Down the Line,Backhand,,,,1.0,0.0,0.0,1.0,"Set 1: 0-0, 15-15 Kaylan Bigun Serving"
4,Kaylan Bigun,Miguel Perez Pena,15-30,0-0,0-0,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,81110.0,157970.0,76860.0,1,1-4,0,0,Double Fault,Wide,Wide,Wide,False,Near,,,170.45137795266783,213.1051782588575,105.72687007868554,-15.91627297,,,Net,,,,Kaylan Bigun,,Miguel Perez Pena,0.0,False,,,1,0,0,0,0,15,30,,,1,Double Fault,Ad: Wide,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-30 Kaylan Bigun Serving"
5,Kaylan Bigun,Miguel Perez Pena,15-40,0-0,0-0,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,185809.0,191199.0,5390.0,5,5-8,0,0,Double Fault,,T,,False,Near,,,-37.90801619,247.71299759392284,,,Down the Line,Backhand,Wide Left,,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,0.0,True,,,1,0,0,0,0,15,40,,,1,Double Fault,,,,Down the Line,Backhand,,,,Down the Line,Backhand,,,,0.0,0.0,1.0,2.0,"Set 1: 0-0, 15-40 Kaylan Bigun Serving"
6,Kaylan Bigun,Miguel Perez Pena,0-0,0-1,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,246130.0,258570.0,12440.0,11,9-12,1,0,1st Serve In,Wide,Wide,,False,Near,,,-124.3850394,244.7146872264703,,,Crosscourt,Forehand,,,Down the Line,Backhand,Miguel Perez Pena,Winner,Miguel Perez Pena,0.0,False,Kaylan Bigun,,1,0,0,0,1,0,0,,,2,,,Crosscourt,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Winner,2.0,0.0,3.0,4.0,"Set 1: 0-1, 0-0 Miguel Perez Pena Serving"
7,Kaylan Bigun,Miguel Perez Pena,15-0,0-1,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,290049.0,303750.0,13701.0,12,9-12,1,0,1st Serve In,Wide,Wide,,False,Near,,,122.62841754149396,224.55925743645443,,,Crosscourt,Backhand,,,Down the Line,,Kaylan Bigun,Winner,Kaylan Bigun,0.0,False,Kaylan Bigun,,1,0,0,0,1,15,0,,,2,,,Crosscourt,Backhand,Down the Line,,Winner,1st Serve In,Ad: Wide,,,,,,2.0,1.0,4.0,3.0,"Set 1: 0-1, 15-0 Miguel Perez Pena Serving"
8,Kaylan Bigun,Miguel Perez Pena,15-15,0-1,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,339329.0,342160.0,2831.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,,,-19.41864611,244.51817585289203,,,Down the Line,Backhand,,,Crosscourt,Backhand,Miguel Perez Pena,Winner,Miguel Perez Pena,0.0,False,,,1,0,0,0,1,15,15,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Winner,0.0,0.0,1.0,1.0,"Set 1: 0-1, 15-15 Miguel Perez Pena Serving"
9,Kaylan Bigun,Miguel Perez Pena,15-30,0-1,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,371359.0,372239.0,880.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,46.40608048991478,176.3943350830235,,,Down the Line,Forehand,Wide Left,Wide Left,Down the Line,Forehand,Kaylan Bigun,Error,Miguel Perez Pena,0.0,False,,,1,0,0,0,1,15,30,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-1, 15-30 Miguel Perez Pena Serving"
10,Kaylan Bigun,Miguel Perez Pena,30-30,0-1,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,403459.0,428619.0,25160.0,6,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,-118.0112806,367.9061898510786,-76.51396544,162.13470581793896,Down the Line,Forehand,Net,,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,0.0,False,,,1,0,0,0,1,30,30,,,2,,,Down the Line,Forehand,Down the Line,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,2.0,1.0,0.0,1.0,"Set 1: 0-1, 30-30 Miguel Perez Pena Serving"
