pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Kaylan Bigun,Savriyan Danilov,0-0,0-0,0-0,,Deuce,Kaylan Bigun,Savriyan Danilov,UCLA,USD,1770.0,4580.0,2810.0,3,1-4,0,0,Double Fault,Wide,,Wide,False,Near,,,,,230.033098206355,245.613188976251,Crosscourt,Backhand,,,Crosscourt,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,0,0,0,0,,,1,Double Fault,Deuce: Wide,,,Crosscourt,Forehand,,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 1: 0-0, 0-0 Kaylan Bigun Serving"
2,Kaylan Bigun,Savriyan Danilov,0-15,0-0,0-0,,Ad,Savriyan Danilov,Kaylan Bigun,UCLA,USD,23180.0,23180.0,0.0,1,1-4,1,0,1st Serve In,T,T,,True,Far,,,-0.380391513560608,-254.956780402318,,,,,,,,,Savriyan Danilov,,Savriyan Danilov,0.0,False,,,1,0,0,0,0,0,15,,,1,Ace,,,,,,,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-15 Savriyan Danilov Serving"
3,Kaylan Bigun,Savriyan Danilov,0-30,0-0,0-0,,Deuce,Kaylan Bigun,Savriyan Danilov,UCLA,USD,47330.0,48180.0,850.0,2,1-4,0,0,Double Fault,T,,T,False,Near,,,,,-17.6960903324493,245.887746062865,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Savriyan Danilov,Error,Kaylan Bigun,0.0,False,,,1,0,0,0,0,0,30,,,1,Double Fault,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-30 Kaylan Bigun Serving"
4,Kaylan Bigun,Savriyan Danilov,0-40,0-0,0-0,,Ad,Kaylan Bigun,Savriyan Danilov,UCLA,USD,71800.0,96599.0,24799.0,2,1-4,0,1,2nd Serve In,T,Wide,T,False,Near,,,127.796812117169,245.972030839768,41.3953083989288,227.303871390959,Crosscourt,Forehand,,,Crosscourt,Forehand,Savriyan Danilov,Winner,Savriyan Danilov,0.0,True,,,1,0,0,0,0,0,40,,,1,2nd Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Winner,0.0,0.0,0.0,1.0,"Set 1: 0-0, 0-40 Kaylan Bigun Serving"
5,Kaylan Bigun,Savriyan Danilov,0-0,0-1,0-0,,Deuce,Savriyan Danilov,Kaylan Bigun,UCLA,USD,102180.0,163979.0,61799.0,2,1-4,0,1,2nd Serve In,Body,T,Body,False,Far,,,-7.4422080052455,-87.2091371390626,-85.7254265091421,188.72517497803,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Kaylan Bigun,Error,Savriyan Danilov,0.0,False,,,1,0,0,0,1,0,0,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-1, 0-0 Savriyan Danilov Serving"
6,Kaylan Bigun,Savriyan Danilov,15-0,0-1,0-0,,Ad,Savriyan Danilov,Kaylan Bigun,UCLA,USD,186100.0,200830.0,14730.0,6,5-8,0,1,2nd Serve In,Body,Body,Body,False,Near,,,89.9953958879675,-42.9453138669944,68.9736548556074,165.643241469731,Crosscourt,Forehand,Net,,Down the Line,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,0.0,False,,,1,0,0,0,1,15,0,,,2,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Ad: Body,,,,,,0.0,0.0,2.0,2.0,"Set 1: 0-1, 15-0 Savriyan Danilov Serving"
7,Kaylan Bigun,Savriyan Danilov,30-0,0-1,0-0,,Deuce,Savriyan Danilov,Kaylan Bigun,UCLA,USD,226130.0,237179.0,11049.0,10,9-12,1,0,1st Serve In,Body,Body,,False,Near,,,-104.374332895834,175.609820647328,,,Crosscourt,Backhand,Wide Left,,Crosscourt,Backhand,Kaylan Bigun,Error,Savriyan Danilov,0.0,False,,,1,0,0,0,1,30,0,,,2,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Deuce: Body,,,,,,1.0,2.0,3.0,2.0,"Set 1: 0-1, 30-0 Savriyan Danilov Serving"
8,Kaylan Bigun,Savriyan Danilov,40-0,0-1,0-0,,Ad,Savriyan Danilov,Kaylan Bigun,UCLA,USD,265570.0,268799.0,3229.0,4,1-4,0,0,Double Fault,,Body,,False,Near,,,74.6521981626911,250.989539588672,,,Down the Line,Backhand,Wide Right,,Crosscourt,Forehand,Kaylan Bigun,Error,Savriyan Danilov,0.0,False,,,1,0,0,0,1,40,0,,,2,,,Down the Line,Backhand,Crosscourt,Forehand,Error,Double Fault,,,,,,,1.0,0.0,0.0,1.0,"Set 1: 0-1, 40-0 Savriyan Danilov Serving"
9,Kaylan Bigun,Savriyan Danilov,0-0,0-2,0-0,,Deuce,Kaylan Bigun,Savriyan Danilov,UCLA,USD,300579.0,301670.0,1091.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,,,16.1279418197642,-175.278652668326,,,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Savriyan Danilov,Error,Kaylan Bigun,0.0,False,,,1,0,0,0,2,0,0,,,3,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-2, 0-0 Kaylan Bigun Serving"
10,Kaylan Bigun,Savriyan Danilov,15-0,0-2,0-0,,Ad,Kaylan Bigun,Savriyan Danilov,UCLA,USD,325600.0,348679.0,23079.0,10,9-12,0,1,2nd Serve In,Body,Body,Body,False,Far,,,-53.5499234470415,5.92022090988318,-104.253417541503,-170.55640857384,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Savriyan Danilov,Error,Kaylan Bigun,0.0,False,,,1,0,0,0,2,15,0,,,3,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,2.0,2.0,2.0,2.0,"Set 1: 0-2, 15-0 Kaylan Bigun Serving"
